dis.Name,RWR,Deepwalk,Node2Vec,LINE,HOPE,Laplacian
DOID:0060010,0.9742,0.9685,0.9593,0.742,0.9604,0.61365
DOID:0060041,0.785100723,0.816417872,0.704535124,0.564377583,0.803706095,0.730074897
DOID:0060058,0.813477366,0.795517833,0.612390261,0.590435528,0.842853224,0.643276749
DOID:0060060,0.786956522,0.840765595,0.596398866,0.656266541,0.853648393,0.714480151
DOID:0060061,0.951006944,0.900486111,0.798298611,0.612430556,0.879930556,0.765555556
DOID:0060162,0.551597222,0.855,0.763194444,0.578090278,0.756041667,0.599965278
DOID:0060167,0.882397959,0.853647959,0.826071429,0.594923469,0.88997449,0.722933673
DOID:0060169,0.6692,0.8224,0.8216,0.5692,0.6956,0.7028
DOID:0060170,0.869897959,0.746122449,0.673877551,0.669387755,0.888265306,0.793673469
DOID:0060173,0.708888889,0.848888889,0.924444444,0.598194444,0.825277778,0.670972222
DOID:0060180,0.810294785,0.813820862,0.706904762,0.630680272,0.852052154,0.743843537
DOID:0060188,0.68,0.644375,0.645,0.651875,0.78,0.748125
DOID:0060189,0.811077098,0.819217687,0.707165533,0.631269841,0.861394558,0.757324263
DOID:0060190,0.820425331,0.807495274,0.706550095,0.585812854,0.845463138,0.770236295
DOID:0060191,0.700625,0.66625,0.6546875,0.6775,0.7875,0.7925
DOID:0060192,0.786628926,0.843053324,0.741705625,0.612195033,0.788210373,0.689298758
DOID:0060193,0.927576531,0.515892857,0.571811224,0.598214286,0.80619898,0.641173469
DOID:0060194,0.753333333,0.842222222,0.804444444,0.637777778,0.752222222,0.691111111
DOID:0060196,0.76,0.91,0.7975,0.7725,0.76,0.925
DOID:0060213,0.9475,0.9675,0.79,0.83125,0.98,0.86
DOID:0060224,0.752212897,0.713476633,0.654689651,0.555649076,0.734907016,0.646011351
DOID:0060227,1,0.998888889,0.996666667,0.895555556,0.996666667,0.663333333
DOID:0060229,0.7471875,0.800833333,0.603263889,0.594270833,0.687430556,0.681736111
DOID:0060230,1,1,1,0.855,0.9825,0.975
DOID:0060232,0.657604167,0.738680556,0.577951389,0.587708333,0.6034375,0.601944444
DOID:0060233,0.99965,0.9912,0.9838,0.8324,0.9888,0.8551
DOID:0060243,0.7225,0.745,0.9,0.845,0.7675,0.8475
DOID:0060245,0.66109375,0.61234375,0.60421875,0.59640625,0.710390625,0.81921875
DOID:0060253,0.9325,0.839375,0.884375,0.681875,0.860625,0.8646875
DOID:0060254,0.99875,0.984375,0.956875,0.6721875,0.978125,0.866875
